,px,py,pz,qw,qx,qy,qz,sx,sy,sz,color_r,color_g,color_b,color_a
32,-5.79696859597112,3.27995870680786,0.811596359009305,0.948311470847657,0.272855021136537,0.160739340361854,0.0204537566077537,1,1,1,0,0,1,0.5
33,-5.77222005126463,3.22730678729358,0.834740064143586,0.949533283277429,0.266352533076525,0.163758185749726,0.0250225632592168,1,1,1,0,0,1,0.5
34,-5.74665019640276,3.17334462644258,0.859106143577641,0.950061829475795,0.261489589076116,0.167720189557999,0.0295914344454244,1,1,1,0,0,1,0.5
35,-5.72024349642642,3.11812199072386,0.884668879456238,0.949981939013156,0.258051875116211,0.172558542543446,0.0341627676439245,1,1,1,0,0,1,0.5
36,-5.69298054466996,3.06168155265354,0.911396702456498,0.949365712814273,0.255839439330775,0.178186885821865,0.0387344592923173,1,1,1,0,0,1,0.5
37,-5.66483879718395,3.00406036215722,0.939252735206174,0.948279639650697,0.254650264354841,0.184508667102596,0.0433072701977214,1,1,1,0,0,1,0.5
38,-5.63579309744734,2.94529090070404,0.968195875949467,0.946781869768022,0.254289852850149,0.191435719268562,0.0478866077744726,1,1,1,0,0,1,0.5
39,-5.60581631149164,2.88540227250606,0.998181444698812,0.944931197313467,0.254554556142263,0.198878635731243,0.0524814113818662,1,1,1,0,0,1,0.5
40,-5.5748796062072,2.82442098885608,1.02916245999533,0.942787082863046,0.255227145065802,0.206761124572934,0.0571091776642312,1,1,1,0,0,1,0.5
41,-5.5429517115816,2.76237073921715,1.06109261377911,0.940403793421037,0.256124969765022,0.214997365746268,0.0617805625124644,1,1,1,0,0,1,0.5
42,-5.51000023790995,2.69927432187198,1.09392509725439,0.937835809567332,0.257061002246173,0.223515359134516,0.066517062836154,1,1,1,0,0,1,0.5
43,-5.47599256809712,2.63515502991253,1.12761222342567,0.935120021040491,0.25789679093052,0.232272132063806,0.0713403682602309,1,1,1,0,0,1,0.5
44,-5.44089577793468,2.5700369148288,1.16210643197467,0.932284716373906,0.258551194116722,0.241208967236812,0.0762543229003637,1,1,1,0,0,1,0.5
45,-5.40467635216125,2.50394459922091,1.19736145712512,0.929368328727358,0.25890576733231,0.250273322960517,0.0812747009522943,1,1,1,0,0,1,0.5
46,-5.36729904181539,2.43690254926087,1.23333464481977,0.926412590294729,0.258833455574689,0.259415006744843,0.0864222719803671,1,1,1,0,0,1,0.5
47,-5.32872877035781,2.36893716987508,1.26998460450935,0.923457680256767,0.258190218887147,0.268604865922645,0.0917341247763078,1,1,1,0,0,1,0.5
48,-5.28893183960621,2.30007822305653,1.30727002754236,0.920511753562013,0.256915099595181,0.277845937645477,0.097233626323881,1,1,1,0,0,1,0.5
49,-5.24787510929556,2.23035831134364,1.34515098453918,0.917565565822302,0.255052255722802,0.287111283791723,0.102902332273754,1,1,1,0,0,1,0.5
50,-5.20552509441284,2.15981191785565,1.38359011023246,0.914630798926979,0.252561395467012,0.296373361708342,0.10874775236136,1,1,1,0,0,1,0.5
51,-5.16184628375935,2.08847436545815,1.42255468925861,0.911723304372795,0.249339951743597,0.305630539698989,0.114804956040049,1,1,1,0,0,1,0.5
52,-5.11680388570451,2.01638424088911,1.46201335113226,0.908842757023373,0.245277718899916,0.314916466652218,0.121125152832475,1,1,1,0,0,1,0.5
53,-5.07036557253341,1.94358498631318,1.50193403728443,0.905950980944518,0.240344702326572,0.324298882329272,0.127739888481249,1,1,1,0,0,1,0.5
54,-5.02250003617722,1.87012419147109,1.54228524771214,0.902999983522775,0.234637471278741,0.333788137768759,0.134617108551068,1,1,1,0,0,1,0.5
55,-4.97317503750814,1.79605218852791,1.58303773434294,0.899973893187284,0.228140103823264,0.343370332999216,0.141760005025538,1,1,1,0,0,1,0.5
56,-4.92235460531108,1.72142084761042,1.62416710007715,0.896833313852187,0.220828488715654,0.35308582906885,0.149181711503883,1,1,1,0,0,1,0.5
57,-4.87000231207157,1.64628564664273,1.66564999077362,0.893476365961561,0.212771959805922,0.363068691867777,0.156873202217241,1,1,1,0,0,1,0.5
58,-4.81608469347938,1.57070721873776,1.70745982375722,0.889817264234242,0.203917687454126,0.3734425414784,0.164874137535892,1,1,1,0,0,1,0.5
59,-4.76057206397925,1.49475173356813,1.74956555048432,0.885829771469291,0.194222486425887,0.384172221710008,0.173190489957176,1,1,1,0,0,1,0.5
60,-4.70344306196589,1.418491757962,1.79192839384033,0.881513833328595,0.183609864532084,0.395166915259331,0.181834783199644,1,1,1,0,0,1,0.5
61,-4.64467743738217,1.34200373709525,1.83450886305964,0.876853757020388,0.171973932706184,0.406366984022113,0.19083587075173,1,1,1,0,0,1,0.5
62,-4.5842344305965,1.26536398622679,1.87728427455155,0.871799226421424,0.159239948372103,0.417758903314898,0.200215499786081,1,1,1,0,0,1,0.5
63,-4.52206413270749,1.18865345769769,1.92023857712463,0.866253038806104,0.145269436163462,0.429404378460141,0.210034148259754,1,1,1,0,0,1,0.5
64,-4.45813026907052,1.1119623472853,1.96334442095067,0.860120612284983,0.12998756059603,0.441313520421716,0.220313737896188,1,1,1,0,0,1,0.5
65,-4.39240408155431,1.03538860947622,2.0065682084112,0.853354380276143,0.113552536339709,0.45338107081972,0.230949621728859,1,1,1,0,0,1,0.5
66,-4.32485477954104,0.959036346736211,2.04987732938957,0.845960060393038,0.0962271050097869,0.465437767181871,0.241784212391955,1,1,1,0,0,1,0.5
67,-4.25545682886044,0.883014503681666,2.09323563307076,0.837966573112561,0.0782070143173562,0.477323175918816,0.252701941006259,1,1,1,0,0,1,0.5
